merchantid,merchantSlug,businessType,Industry,customerSegment,market,First_Shipment_Month,Delivery_Month,Delivery_Year,delivery_quarter,GMV,First_Shipment_Quarter_Year,Delivery_Month_Year,Delivery_Quarter_Year
PoufQkoVTxLbxFtLOxkK,the-angry-roaster-coffee-co,Retail,Ambient: Food & Beverage,Midmarket,Toronto,2021-12-01,12,2021,$4.00,7.29,2021-04-01,12-2021,4-2021
PoufQkoVTxLbxFtLOxkK,the-angry-roaster-coffee-co,Retail,Ambient: Food & Beverage,Midmarket,Toronto,2021-12-01,3,2022,$1.00,14.224518,2021-04-01,3-2022,1-2022
PoufQkoVTxLbxFtLOxkK,the-angry-roaster-coffee-co,Retail,Ambient: Food & Beverage,Midmarket,Toronto,2021-12-01,1,2022,$1.00,21.387456,2021-04-01,1-2022,1-2022
PoufQkoVTxLbxFtLOxkK,the-angry-roaster-coffee-co,Retail,Ambient: Food & Beverage,Midmarket,Toronto,2021-12-01,2,2022,$1.00,35.37009,2021-04-01,2-2022,1-2022
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,5,2021,$2.00,211.41,2021-02-01,5-2021,2-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,7,2021,$3.00,243,2021-02-01,7-2021,3-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,10,2021,$4.00,198.45,2021-02-01,10-2021,4-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,6,2021,$2.00,284.31,2021-02-01,6-2021,2-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,9,2021,$3.00,280.665,2021-02-01,9-2021,3-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,8,2021,$3.00,379.08,2021-02-01,8-2021,3-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,11,2021,$4.00,396.9,2021-02-01,11-2021,4-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,12,2021,$4.00,2045.4525,2021-02-01,12-2021,4-2021
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,2,2022,$1.00,2408.506628,2021-02-01,2-2022,1-2022
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,3,2022,$1.00,2425.75447,2021-02-01,3-2022,1-2022
yUrk74ywTIfspN4KqMSV,bean-wise,eCommerce,Ambient: Food & Beverage,Small Business,Toronto,2021-04-01,1,2022,$1.00,2542.334816,2021-02-01,1-2022,1-2022
